tic_id,n_sectors
350522225,27
150165182,27
375034285,27
176935871,27
149388662,27
364304850,27
373765872,27
176959991,27
373594903,27
404968457,27
404769646,27
167087316,27
150440362,27
167338050,27
382256774,27
149502001,27
373844472,27
374857047,27
141272004,27
375037245,27
382160281,27
382033395,27
382186532,27
373844388,27
167551845,27
167551757,27
149628795,26
149630824,26
150271169,26
276861919,26
149625812,26
735972196,26
276793444,26
261332418,26
141945095,26
149156748,26
260269456,26
260297640,26
260417220,26
276863693,26
277300384,26
277015378,26
278775103,26
141979739,26
260505914,26
260657210,26
276860494,26
276859664,26
350478924,26
179246484,26
31382009,26
278992516,26
279952379,26
278867391,26
141975903,26
287400996,26
287400588,26
279955276,26
141977076,26
31601457,26
287403631,26
287401203,26
31533454,26
179443276,26
179385044,26
141625087,26
374861869,26
141333573,26
176982477,26
150140723,26
350839744,26
141606986,26
141685465,26
149474739,26
382157212,26
373915220,26
375035002,26
391746189,26
389325751,26
389363745,26
389365607,26
149992221,26
149990367,26
391746008,26
404933947,26
150062649,26
167304005,26
167125872,26
167126073,26
404932577,26
391823416,26
150029382,26
391809264,26
41112771,26
167085840,26
41485573,26
149574542,26
150443238,26
149445159,25
736595224,25
149449388,25
734556099,25
150428935,25
149630147,25
404965649,25
404965477,25
731484592,25
260296875,25
260075919,25
149601263,25
260298958,25
41229199,25
391746141,25
391746326,25
391809072,25
391746343,25
391746328,25
404850840,25
260370234,25
260656380,25
142142450,25
389921108,25
350343735,25
350620011,25
733116725,25
732235000,25
41590169,25
41358832,25
150323684,25
31532625,25
149543900,25
350342975,25
167247143,25
150191881,25
277301936,25
277301232,25
277173427,25
277108449,25
167010833,25
167012000,25
374861595,25
166970183,25
277098905,25
276864021,25
278684745,25
142085649,25
377017255,25
382030585,25
382028301,25
260542286,25
141610916,25
278866211,25
41591173,25
276861431,24
150433579,24
149665755,24
389570196,24
404851936,24
407661994,24
149445258,24
41172972,24
260132330,24
150066631,24
149218335,24
391746270,24
150098575,24
149120706,24
